"Track Title","Track Length","Artist","Album","Genre"
"Telephone Calls (feat. A$AP Rocky, Tyler, the Creator, Playboi Carti & Yung Gleesh)",3:51,A$AP Mob,"Cozy Tapes, Vol. 1: Friends",Hip-Hop/Rap
"What Happens (feat. A$AP Rocky, A$AP Ferg, Joey Bada$$, Kirk Knight, Nyck Caution, Meechy Darko & Zombie Juice)",3:39,A$AP Mob,"Cozy Tapes, Vol. 2: Too Cozy",Hip-Hop/Rap
I Don't Want to Miss a Thing,4:59,Aerosmith,Armageddon - The Album,Soundtrack
Dream On,4:25,Aerosmith,The Essential Aerosmith,Rock
Rings,3:47,Aesop Rock,The Impossible Kid,Hip-Hop/Rap
Get out of the Car,1:53,Aesop Rock,The Impossible Kid,Hip-Hop/Rap
Daylight,4:26,Aesop Rock,Labor Days,Hip-Hop/Rap
None Shall Pass,4:04,Aesop Rock,None Shall Pass (Bonus Track Version),Hip-Hop/Rap
Zero Dark Thirty,3:21,Aesop Rock,Skelethon (Deluxe Version),Hip-Hop/Rap
Miss Murder,3:27,AFI,DECEMBERUNDERGROUND,Rock
Get Dark,2:41,AFI,The Missing Man - EP,Alternative
Mo Fire,2:09,AKTHESAVIOR,Blessings In the Grey 2,Hip-Hop/Rap
Scottie Pippen,2:13,AKTHESAVIOR,Blessings In the Grey 2,Hip-Hop/Rap
Route 66,2:27,AKTHESAVIOR,Blessings In the Grey 2,Hip-Hop/Rap
Inner Peace,2:36,AKTHESAVIOR,Blessings In the Grey 2,Hip-Hop/Rap
Satori (feat. Mello),2:50,AKTHESAVIOR,Blessings In the Grey 2,Hip-Hop/Rap
Illuminate,2:50,AKTHESAVIOR,Blessings In the Grey 2,Hip-Hop/Rap
Big Hit Man Interlude,1:29,AKTHESAVIOR,Blessings In the Grey 2,Hip-Hop/Rap
Gold Flowers (Pt. 2),3:51,AKTHESAVIOR,Blessings In the Grey 2,Hip-Hop/Rap
Pieces of a Dream (feat. Mello),3:20,AKTHESAVIOR,Blessings In the Grey 2,Hip-Hop/Rap
World Peace Outro,2:13,AKTHESAVIOR,Blessings In the Grey 2,Hip-Hop/Rap
Never Change,2:27,AKTHESAVIOR,Blessings In the Grey 2,Hip-Hop/Rap
L.O.S. Interlude,1:14,AKTHESAVIOR & Cree Ikuko,Blessings In the Grey 2,Hip-Hop/Rap
All Secrets Known,4:43,Alice In Chains,Black Gives Way To Blue,Hard Rock
Check My Brain,3:58,Alice In Chains,Black Gives Way To Blue,Hard Rock
Last of My Kind,5:53,Alice In Chains,Black Gives Way To Blue,Hard Rock
Your Decision,4:43,Alice In Chains,Black Gives Way To Blue,Hard Rock
A Looking In View,7:06,Alice In Chains,Black Gives Way To Blue,Hard Rock
When the Sun Rose Again,4:00,Alice In Chains,Black Gives Way To Blue,Hard Rock
Acid Bubble,6:56,Alice In Chains,Black Gives Way To Blue,Hard Rock
Lesson Learned,4:17,Alice In Chains,Black Gives Way To Blue,Hard Rock
Take Her Out,4:00,Alice In Chains,Black Gives Way To Blue,Hard Rock
Private Hell,5:38,Alice In Chains,Black Gives Way To Blue,Hard Rock
Black Gives Way To Blue (Piano Mix),3:01,Alice In Chains,Black Gives Way To Blue,Hard Rock
Black Gives Way To Blue (Piano Mix),3:01,Alice In Chains,Black Gives Way To Blue,Hard Rock
Your Decision (Live),4:48,Alice In Chains,Black Gives Way To Blue,Hard Rock
Them Bones,2:29,Alice In Chains,Dirt,Hard Rock
Down In a Hole,5:38,Alice In Chains,Dirt,Hard Rock
Rooster,6:14,Alice In Chains,Dirt,Hard Rock
Dirt,5:17,Alice In Chains,Dirt,Hard Rock
Would?,3:27,Alice In Chains,Dirt,Hard Rock
Man In the Box,4:44,Alice In Chains,Facelift,Hard Rock
Nutshell,4:19,Alice In Chains,Jar of Flies,Hard Rock
No Excuses,4:16,Alice In Chains,Jar of Flies,Hard Rock
Down In a Hole (Live),5:46,Alice In Chains,MTV Unplugged: Alice In Chains (Live),Hard Rock
Never Fade,4:40,Alice In Chains,Rainier Fog,Rock
Six,3:22,All That Remains,The Fall of Ideals,Metal
Umbrella,3:50,All Time Low,Punk Goes Crunk,Alternative
"Dear Maria, Count Me In",3:03,All Time Low,"So Wrong, It's Right (Deluxe)",Alternative
Dirty Little Secret,3:14,The All-American Rejects,Move Along,Alternative
Move Along,3:59,The All-American Rejects,Move Along,Alternative
It Ends Tonight,4:05,The All-American Rejects,Move Along,Alternative
Gives You Hell,3:33,The All-American Rejects,When the World Comes Down (Deluxe Edition),Alternative
Ramblin' Man,4:50,The Allman Brothers Band,A Decade of Hits 1969-1979,Rock
Blue Sky,5:11,The Allman Brothers Band,A Decade of Hits 1969-1979,Rock
Do I Wanna Know?,4:32,Arctic Monkeys,AM,Alternative
R U Mine?,3:22,Arctic Monkeys,AM,Alternative
Why'd You Only Call Me When You're High?,2:41,Arctic Monkeys,AM,Alternative
Cochise,3:42,Audioslave,Audioslave,Hard Rock
Show Me How to Live,4:38,Audioslave,Audioslave,Hard Rock
Gasoline,4:39,Audioslave,Audioslave,Hard Rock
What You Are,4:09,Audioslave,Audioslave,Hard Rock
Like a Stone,4:54,Audioslave,Audioslave,Hard Rock
Set It Off,4:23,Audioslave,Audioslave,Hard Rock
Shadow On the Sun,5:43,Audioslave,Audioslave,Hard Rock
I Am the Highway,5:35,Audioslave,Audioslave,Hard Rock
Exploder,3:26,Audioslave,Audioslave,Hard Rock
Hypnotize,3:27,Audioslave,Audioslave,Hard Rock
Bring Em Back Alive,5:29,Audioslave,Audioslave,Hard Rock
Light My Way,5:03,Audioslave,Audioslave,Hard Rock
Getaway Car,4:59,Audioslave,Audioslave,Hard Rock
The Last Remaining Light,5:17,Audioslave,Audioslave,Hard Rock
Almost Easy,3:54,Avenged Sevenfold,Avenged Sevenfold,Hard Rock
Afterlife,5:52,Avenged Sevenfold,Avenged Sevenfold,Hard Rock
A Little Piece of Heaven,8:01,Avenged Sevenfold,Avenged Sevenfold,Hard Rock
Beast and the Harlot,5:44,Avenged Sevenfold,City of Evil,Hard Rock
Bat Country,5:12,Avenged Sevenfold,City of Evil,Hard Rock
Shepherd of Fire,5:23,Avenged Sevenfold,Hail to the King (Deluxe Version),Hard Rock
Hail to the King,5:05,Avenged Sevenfold,Hail to the King (Deluxe Version),Metal
Nightmare,6:14,Avenged Sevenfold,Nightmare (Deluxe Version),Hard Rock
So Far Away,5:27,Avenged Sevenfold,Nightmare (Deluxe Version),Hard Rock
Unholy Confessions,4:44,Avenged Sevenfold,Waking the Fallen,Hard Rock
Nothin' On You (feat. Bruno Mars),4:30,B.o.B,B.o.B Presents: The Adventures of Bobby Ray (Deluxe),Hip-Hop/Rap
Magic (feat. Rivers Cuomo),3:16,B.o.B,B.o.B Presents: The Adventures of Bobby Ray (Deluxe),Hip-Hop/Rap
"Airplanes, Part II (feat Eminem & Hayley Williams of Paramore)",5:19,B.o.B,B.o.B Presents: The Adventures of Bobby Ray (Deluxe),Hip-Hop/Rap
Come Together,4:19,The Beatles,Abbey Road (Remastered),Rock
Here Comes the Sun,3:06,The Beatles,Abbey Road (Remastered),Rock
Hey Jude,7:11,The Beatles,The Beatles 1967-1970 (The Blue Album),Rock
Let It Be,4:03,The Beatles,Let It Be,Rock
Lucy In the Sky with Diamonds,3:28,The Beatles,Sgt. Pepper's Lonely Hearts Club Band,Rock
Loser,3:55,Beck,Mellow Gold,Pop
No Favors (feat. Eminem),5:26,Big Sean,I Decided.,Hip-Hop/Rap
Everlasting Light,3:24,The Black Keys,Brothers,Alternative
Next Girl,3:18,The Black Keys,Brothers,Alternative
Tighten Up,3:31,The Black Keys,Brothers,Alternative
Howlin' for You,3:12,The Black Keys,Brothers,Alternative
She's Long Gone,3:06,The Black Keys,Brothers,Alternative
Black Mud,2:09,The Black Keys,Brothers,Alternative
The Only One,5:00,The Black Keys,Brothers,Alternative
Too Afraid to Love You,3:25,The Black Keys,Brothers,Alternative
Ten Cent Pistol,4:29,The Black Keys,Brothers,Alternative
Sinister Kid,3:44,The Black Keys,Brothers,Alternative
The Go Getter,3:37,The Black Keys,Brothers,Alternative
I'm Not the One,3:49,The Black Keys,Brothers,Alternative
Unknown Brother,4:00,The Black Keys,Brothers,Alternative
Never Gonna Give You Up,3:39,The Black Keys,Brothers,Alternative
These Days,5:12,The Black Keys,Brothers,Alternative
Lonely Boy,3:13,The Black Keys,El Camino,Alternative
Dead and Gone,3:41,The Black Keys,El Camino,Alternative
Gold On the Ceiling,3:44,The Black Keys,El Camino,Alternative
